circuit_id,forecast_timestamp,forecast_value,step_ahead,generated_at,model_type,model_version,resolution,scope,product
global,2026-04-13 11:05:00+00:00,849.111853,1,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 11:10:00+00:00,899.455416,2,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 11:15:00+00:00,728.276153,3,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 11:20:00+00:00,936.040561,4,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 11:25:00+00:00,830.494209,5,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 11:30:00+00:00,796.206063,6,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 11:35:00+00:00,773.988733,7,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 11:40:00+00:00,831.734992,8,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 11:45:00+00:00,760.445582,9,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 11:50:00+00:00,807.974509,10,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 11:55:00+00:00,727.31798,11,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 12:00:00+00:00,866.225219,12,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 12:05:00+00:00,716.09699,13,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 12:10:00+00:00,803.374229,14,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 12:15:00+00:00,789.131717,15,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 12:20:00+00:00,849.39901,16,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 12:25:00+00:00,763.847174,17,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 12:30:00+00:00,696.661378,18,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 12:35:00+00:00,767.287113,19,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 12:40:00+00:00,744.690268,20,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 12:45:00+00:00,737.270983,21,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 12:50:00+00:00,723.924856,22,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 12:55:00+00:00,783.468923,23,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 13:00:00+00:00,815.907956,24,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 13:05:00+00:00,759.210518,25,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 13:10:00+00:00,898.35486,26,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 13:15:00+00:00,624.191474,27,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 13:20:00+00:00,727.91804,28,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 13:25:00+00:00,821.381548,29,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 13:30:00+00:00,782.245461,30,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 13:35:00+00:00,878.400383,31,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 13:40:00+00:00,699.77958,32,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 13:45:00+00:00,851.087088,33,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 13:50:00+00:00,742.494001,34,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 13:55:00+00:00,746.020694,35,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 14:00:00+00:00,920.427178,36,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 14:05:00+00:00,886.7584,37,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 14:10:00+00:00,816.982446,38,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 14:15:00+00:00,846.857098,39,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 14:20:00+00:00,768.924746,40,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 14:25:00+00:00,840.177167,41,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 14:30:00+00:00,680.155406,42,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 14:35:00+00:00,786.833731,43,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 14:40:00+00:00,688.879745,44,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 14:45:00+00:00,837.51023,45,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 14:50:00+00:00,858.647136,46,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 14:55:00+00:00,845.745299,47,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 15:00:00+00:00,716.183309,48,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 15:05:00+00:00,889.418737,49,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 15:10:00+00:00,791.367454,50,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 15:15:00+00:00,751.868221,51,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 15:20:00+00:00,770.569891,52,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 15:25:00+00:00,698.882406,53,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 15:30:00+00:00,872.397432,54,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 15:35:00+00:00,867.92603,55,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 15:40:00+00:00,784.69439,56,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 15:45:00+00:00,760.066945,57,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 15:50:00+00:00,742.707088,58,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 15:55:00+00:00,787.038649,59,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 16:00:00+00:00,828.244622,60,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 16:05:00+00:00,848.851397,61,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 16:10:00+00:00,738.570178,62,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 16:15:00+00:00,733.739924,63,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 16:20:00+00:00,909.240338,64,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 16:25:00+00:00,847.93718,65,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 16:30:00+00:00,706.570837,66,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 16:35:00+00:00,742.588454,67,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 16:40:00+00:00,811.201153,68,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 16:45:00+00:00,958.957931,69,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 16:50:00+00:00,698.090239,70,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 16:55:00+00:00,824.222294,71,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 17:00:00+00:00,851.058664,72,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 17:05:00+00:00,888.653488,73,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 17:10:00+00:00,695.530716,74,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 17:15:00+00:00,776.815112,75,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 17:20:00+00:00,870.989046,76,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 17:25:00+00:00,811.392195,77,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 17:30:00+00:00,840.327485,78,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 17:35:00+00:00,743.064996,79,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 17:40:00+00:00,795.864889,80,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 17:45:00+00:00,798.649741,81,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 17:50:00+00:00,862.753948,82,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 17:55:00+00:00,708.068288,83,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 18:00:00+00:00,736.73253,84,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 18:05:00+00:00,835.305486,85,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 18:10:00+00:00,811.781354,86,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 18:15:00+00:00,803.30677,87,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 18:20:00+00:00,752.050955,88,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 18:25:00+00:00,776.084685,89,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 18:30:00+00:00,699.169387,90,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 18:35:00+00:00,831.529196,91,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 18:40:00+00:00,789.947167,92,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 18:45:00+00:00,815.601778,93,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 18:50:00+00:00,733.819732,94,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 18:55:00+00:00,710.943736,95,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 19:00:00+00:00,837.3238,96,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 19:05:00+00:00,949.662476,97,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 19:10:00+00:00,850.366447,98,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 19:15:00+00:00,791.761265,99,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
global,2026-04-13 19:20:00+00:00,810.745848,100,2026-04-13 09:20:00.000+00:00,Prophet,1.0,5min,global,short_term
